"genus","species","newcarabids_carabidid_carabids_other","newcarabids_carabididref_carabids_other","newcarabids_countries_carabids_other","newcarabids_distributionarea_carabids_other","newcarabids_distributioncenterlatitude_carabids_other","newcarabids_distributioncenterlongitude_carabids_other","newcarabids_eyesize_carabids_other","newcarabids_hindwingdevelopment_carabids_other","newcarabids_isactive_carabids_other","newcarabids_range_carabids_other","newcarabids_referenceid_carabids_other","newcarabids_region_carabids_other","newcarabids_subfamily_carabids_other","newcarabids_subgenus_carabids_other","newcarabids_tribe_carabids_other","newcarabids_yearofdesc_carabids_other","newmartin2019_family_martin2019_other","newmartin2019_speciesid_martin2019_other","newmartin2019_taxonomic_group_martin2019_other","newsesync_aphidalter_sesync_other","newsesync_code_sesync_other","newsesync_overwinter_sesync_other","newsesync_realm_sesync_other","newsesync_region_sesync_other","newsesync_speciesid_sesync_other","newsesync_system_sesync_other","newtamburini_n..studies_tamburini_other","newtamburini_order_tamburini_other","newtamburini_specieslatin_tamburini_other","newjeppsson_adult.activity.period..days._jeppsson_other","newjeppsson_generation.time..years._jeppsson_other","newjeppsson_red.list.classification..2010._jeppsson_other","newjeppsson_species.name_jeppsson_other","newglobalants_activity_globalants_other","newglobalants_caste_globalants_other","newglobalants_colony.type_globalants_other","newarthropodtraits_family_arthropodtraits_other","newarthropodtraits_order_arthropodtraits_other","newarthropodtraits_speciesid_arthropodtraits_other","newarthropodtraits_suborder_arthropodtraits_other","newcarabids_hibernation_carabids_other","newcarabids_subtribe_carabids_other","newsesync_host_alternating_sesync_other","newemerystickytrap_family_emerysticky_other","newemerystickytrap_functionalgroup_emerysticky_other","newemerystickytrap_location_emerysticky_other","newemerystickytrap_number_emerysticky_other","newemerystickytrap_order_emerysticky_other","newemerystickytrap_presence_emerysticky_other","newcarabids_reprospring_carabids_other","newcarabids_reprosummer_carabids_other","newcarabids_activityend_carabids_other","newcarabids_activitystart_carabids_other","newemerystickytrap_moreinfo_emerysticky_other","newcarabids_reproautumn_carabids_other","newemerypitfalltrap_bnhm_id_emerypit_other","newemerypitfalltrap_extrainfo_emerypit_other","newemerypitfalltrap_family_emerypit_other","newemerypitfalltrap_functionalgroup_emerypit_other","newemerypitfalltrap_idverified_emerypit_other","newemerypitfalltrap_number_emerypit_other","newemerypitfalltrap_order_emerypit_other","newemerypitfalltrap_sizecat_emerypit_other","newemerypitfalltrap_guild_emerypit_other","newemerypitfalltrap_subtribe_emerypit_other","newemerypitfalltrap_tribe_emerypit_other","newemerypitfalltrap_class_emerypit_other"
"pterostichus","multipunctatus","8221","8221","AUFRGEITLSSZ","350","51","9","10 - 25 %","shortwinged","1","widespread","8221","Central Europe","Harpalinae","Oreolyperus","Pterostichini","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","negligens","8231","8231","CZGEPLUKWSSK","350","51","9","10 - 25 %","shortwinged","1","widespread","8231","Central Europe","Harpalinae","Cryobius","Pterostichini","1824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","niger","8236","8236","ABAUBEBHBUBYCRCTCZDEENFIFRGBGEGRHUIRITLALSLTMCMDNLNRNTPLROSKSLSPSTSVSZUKYUINKIKZTDTRUZWSARGGESFEMG","350","51","9","10 - 25 %","dimorphic","1","widespread","8236","Central Europe","Harpalinae","Platysma","Pterostichini","1783","Carabidae","Pterostichus niger","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","nigrita","8239","8239","AUBEBRBUBYCRCTCZDEENFAFIFRGBGEGRHUICIRITLALSLTMDNLNRNTPLPTROSKSLSPSTSVSZUKYUAGMOTUCRESFEJAKZMGSYTRUZWS","350","51","9","10 - 25 %","dimorphic","1","widespread","8239","Central Europe","Harpalinae","Pseudomaseus","Pterostichini","1790","Carabidae","Pterostichus nigrita","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","oblongopunctatus","8248","8248","ALAUBEBHBUBYCRCTCZDEENFLFRGBGEHUIRITLALSLTMDNLPLROSKSLSPSVSZUKESWSJASTINMCYU","350","51","9","10 - 25 %","dimorphic","1","widespread","8248","Central Europe","Harpalinae","Bothriopterus","Pterostichini","1787","Carabidae","Pterostichus oblongopunctatus","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","ovoideus","8271","8271","AUBEBRBUBYCTCZENFRGEHUITLAMDNLNTPLROSKSLSTSZUKYUTR","350","51","9","10 - 25 %","dimorphic","1","widespread","8271","Central Europe","Harpalinae","Phonias","Pterostichini","1824","Carabidae","Pterostichus ovoideus","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","panzeri","8275","8275","AUFRGELSSZ","350","51","9","10 - 25 %","shortwinged","1","restricted","8275","Central Europe","Harpalinae","Platypterus","Pterostichini","1803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","pumilio","8330","8330","AUCZFRGELSPLROSKSPSZUK","350","51","9",NA,"shortwinged","1",NA,"8330","Central Europe","Harpalinae","Cryobius","Pterostichini","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","quadrifoveolatus","8333","8333","AUBEBHBUBYCTCZDEENFIFRGBGEITLAMDNLNRNTPLSKSLSPSVSZUKYUWS","350","51","9","10 - 25 %","winged","1","widespread","8333","Central Europe","Harpalinae","Bothriopterus","Pterostichini","1852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","selmanni","8382","8382","AUFRCZGE","350","51","9","10 - 25 %","shortwinged","1","widespread","8382","Central Europe","Harpalinae","Calopterus","Pterostichini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","strenuus","8423","8423","ALAUBEBRBUBYCTCZDEENFIFRGBGEGRHUIRITLALSLTMDNLNRNTPLROSKSLSPSTSVSZUKYUESFEKZTRUZWS","350","51","9","10 - 25 %","dimorphic","1","widespread","8423","Central Europe","Harpalinae","Phonias","Pterostichini","1796","Carabidae","Pterostichus strenuus","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","subsinuatus","8433","8433","AUGEHUITPLSLSZ","350","51","9","10 - 25 %","shortwinged","1","widespread","8433","Central Europe","Harpalinae","Cryobius","Pterostichini","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","taksonyis","8451","8451","AUCRCZFRGEHUPLSKSLSTYUKZ","350","51","9","10 - 25 %","dimorphic","1","widespread","8451","Central Europe","Harpalinae","Phonias","Pterostichini","1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","transversalis","8474","8474","AUBHGEHUROSLSZ","350","51","9","10 - 25 %","shortwinged","1","widespread","8474","Central Europe","Harpalinae","Cheporus","Pterostichini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","unctulatus","8492","8492","AUBHCRCZFRGEHUITPLROSKSLSZUKYU","350","51","9","10 - 25 %","shortwinged","1","widespread","8492","Central Europe","Harpalinae","Cryobius","Pterostichini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pterostichus","vernalis","8506","8506","ABAUAZBEBHBUBYCRCTCZDEENFIFRGBGEGRHUIRITLALSLTMDNLNRNTPLPTROSKSLSPSTSVSZUKYUAGMOESKZTRZUWS","350","51","9","10 - 25 %","dimorphic","1","widespread","8506","Central Europe","Harpalinae","Argutor","Pterostichini","1796","Carabidae","Pterostichus vernalis","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carabidae","Coleoptera","Pterostichus vernalis","Adephaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","appretiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","comis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","crassicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","denticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","eggersi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Minor","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","lygathrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","mitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","rugithorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","sp.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","sp.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","sp.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","themis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Worker","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyramica","un01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not in paper","Minor","Not in paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyrrhidium","sanguineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","1","1","Pyrrhidium sanguineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quedius","cinctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Quedius cinctus","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quedius","nitipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Quedius nitipennis","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quedius","ochripennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Quedius ochripennis","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quedius","paradisianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Quedius paradisianus","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quedius","vexans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Quedius vexans","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagium","inquisitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180","2","0","Rhagium inquisitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagium","mordax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144","2","0","Rhagium mordax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagium","sycophanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","2","1","Rhagium sycophanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagoletis","cerasi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephritidae","Rhagoletis cerasi","cherry fruit fly",NA,NA,NA,NA,NA,NA,NA,"1","Diptera","Rhagoletis cerasi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagonycha","fulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Rhagonycha fulva","soldier beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Coleoptera","Rhagonycha fulva","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagonycha","limbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Coleoptera","Rhagonycha limbata","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagonycha","lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Rhagonycha lutea","soldier beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Coleoptera","Rhagonycha lutea","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhagonycha","testacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cantharidae","Coleoptera","Rhagonycha testacea","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhopalosiphum","padi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aphididae","Rhopalosiphum padi","aphid","yes","birk02","egg","Palearctic","scania","rhopalosiphum padi","annual","2","Hemiptera","Rhopalosiphum padi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhyzobius","litura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccinellidae","Rhyzobius litura","ladybug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccinellidae","Coleoptera","Rhyzobius litura","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhyzobius","lophanthae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccinellidae","CanopyPredator","K2","1","Coleoptera","had",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robertus","arundineti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Theridiidae","Robertus arundineti","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Theridiidae","Araneae","Robertus arundineti","Labidognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robertus","kuehnae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Theridiidae","Robertus kuehnae","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robertus","lividus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Theridiidae","Robertus lividus","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Theridiidae","Araneae","Robertus lividus","Labidognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
